"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
defendant-hope,2.74651882877337,2.7966696411641,-5.49303765754674,8.8626019263159,0.975620722872863,17.7252038526318
deliveryman-regret,89.5016005344232,5.02852800375054,-179.003201068846,21.5041211168159,1.55563143869425,43.0082422336317
detective-disprove,41.4677324056618,7.11144427408283,-82.9354648113237,15.1814866127972,1.72059065711907,30.3629732255944
director-congratulate,40.537573666791,3.56083237287834,-81.0751473335821,16.2116405831947,0.994108796979884,32.4232811663895
dishwasher-complain,40.0847561766137,6.57081679996066,-80.1695123532274,15.6835624374772,2.70833587077289,31.3671248749543
diver-fear,43.3043881865741,6.34470925659337,-86.6087763731481,15.6620109757869,2.35594868832223,31.3240219515739
doctor-think,83.3636941212062,2.68158327033647,-166.727388242412,18.9263311411742,0.903473660088262,37.8526622823484
driver-regret,55.6230481612099,2.51446843013559,-111.24609632242,19.2739038050158,0.746447955821649,38.5478076100315
economist-mislead,57.4372860166691,10.938087544712,-114.874572033338,16.7532756992377,2.71613331721706,33.5065513984753
electrician-disprove,57.9701450940846,10.1672779329219,-115.940290188169,19.1920507087324,3.68926068894866,38.3841014174648
engineer-persuade,55.9721307167087,6.06174356677311,-111.944261433417,20.1318555662088,1.96853925246231,40.2637111324177
executive-know,54.7734187800151,2.78574684894312,-109.54683756003,19.9000061880516,0.713111036871538,39.8000123761032
farmer-persuade,46.1339297854212,3.6438352589641,-92.2678595708424,19.6681680358788,1.1150739760945,39.3363360717577
filmmaker-lie,57.9538757121511,9.72030453295797,-115.907751424302,20.2921925911957,3.61731059740801,40.5843851823914
fire fighter-boast,74.3343102376539,4.51259827381981,-148.668620475308,21.2507222829385,1.86730651310289,42.501444565877
fisherman-love,78.2088248665762,3.49539862154157,-156.417649733152,20.1398583630757,1.24259511299546,40.2797167261514
gambler-like,69.7616179816854,5.54975350505848,-139.523235963371,21.8681879514955,1.64848873138162,43.736375902991
gardener-remember,81.3295431706693,3.85644102498637,-162.659086341339,21.3165976401205,1.20819580555202,42.6331952802411
guitarist-worry,33.9471641021744,3.56459528150505,-67.8943282043488,16.3206026962704,0.971929015676515,32.6412053925408
hacker-boast,44.6953822282831,2.74768766485177,-89.3907644565661,17.0044523771195,0.785746234331652,34.0089047542391
hiker-remember,80.2594324849759,2.51972624268393,-160.518864969952,20.536714475303,0.81030931179689,41.0734289506061
homeowner-hate,91.8716073919389,3.91961122187465,-183.743214783878,21.8321116430791,1.04058542324734,43.6642232861582
inspector-convince,47.4957424554126,3.44305927781603,-94.9914849108252,18.6789359621678,1.11963451895807,37.3578719243356
jeweler-remember,55.1987025577399,4.09900765020682,-110.39740511548,18.0396995035144,1.6509234237196,36.0793990070289
journalist-worry,70.163856918965,3.86920173018391,-140.32771383793,18.6335848050003,1.08212338407153,37.2671696100006
landlord-hope,-8.68471116818286,9.81201872147347,17.3694223363657,7.83920774809011,5.51776043546793,15.6784154961802
lawyer-disprove,27.9291098028422,4.06779479023377,-55.8582196056844,13.7109430618893,1.36381518611781,27.4218861237786
liquor store owner-tell,51.2299493443822,4.00537620042407,-102.459898688764,19.4097846947862,1.68831058612339,38.8195693895724
literary agent-mislead,48.3376432055607,7.84689365018934,-96.6752864111214,19.3215208700629,2.67629733638593,38.6430417401259
