"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","verb"
"B_v[2,2]",-1.3393732755683,0.00663037999828453,0.349435994805947,-2.03426737960862,-1.56612404655774,-1.33686590694518,-1.10466506608024,-0.660915014975329,2777.52795852878,1.00100238744513,"boast"
"B_v[2,3]",-0.761396773724573,0.00656438372119895,0.351149972423148,-1.4607565321575,-0.991149873658386,-0.75975490103756,-0.529394490236586,-0.0738717227407225,2861.5237687962,1.0010344919957,"complain"
"B_v[2,4]",-0.731629044943736,0.00679712581133605,0.349465615061138,-1.43098456649516,-0.963048327415116,-0.728248375642956,-0.496365301637799,-0.0548940396387681,2643.37199288004,1.00080097506871,"congratulate"
"B_v[2,5]",-1.55880311650339,0.00652477086684626,0.348495394304137,-2.25466996829511,-1.78956484910945,-1.55546788227244,-1.32766739774503,-0.878569072039902,2852.74896037694,1.00086401399137,"convince"
"B_v[2,6]",2.10222653974597,0.00651355711802056,0.349742866765809,1.40993166336205,1.86911651426106,2.10357776574073,2.3359517446971,2.78740647193165,2883.11044401803,1.00106541661262,"disprove"
"B_v[2,7]",1.57495288234412,0.00650887388481738,0.351369139552162,0.871075841098658,1.34494684852021,1.57706570861226,1.80675829036868,2.26678880713748,2914.17425193157,1.00077550049292,"dissuade"
"B_v[2,8]",3.81818188897215,0.00661826658704985,0.353927482481032,3.11965067257607,3.58613302355635,3.81791349007417,4.05294340708877,4.51377963072958,2859.82896389146,1.00125614448987,"doubt"
"B_v[2,9]",0.166059032724157,0.00651749352804352,0.349944176248299,-0.526956920065231,-0.0689103347750956,0.168993442154679,0.39971145043138,0.848591257959997,2882.94477779983,1.00092150653816,"fear"
"B_v[2,10]",-0.604939915551349,0.00674222040653179,0.349195530100801,-1.30904953380963,-0.832835046595322,-0.602824876641015,-0.371822741719633,0.0756273310067506,2682.44891704808,1.0009922719851,"hate"
"B_v[2,11]",0.237075223102373,0.00646452892909218,0.348250879964269,-0.463473396414824,0.00810274511265244,0.240004786913021,0.47050713385593,0.918346779467549,2902.08867474822,1.00086892974573,"hope"
