scenario,polarity-tense,2.5%,25%,50%,75%,97.5%,mean,sd
clerk:apologize,negative-future,-0.544090246260868,-0.17714891912084707,0.016881412730898993,0.20894343418434602,0.587733697325712,0.01756770179716179,0.28895570481126304
climber:like,positive-past,-0.308438321501924,-0.0679409150252426,0.0581411878127357,0.18405172363072897,0.429758269523815,0.05859166420411513,0.18912026643564922
climber:like,positive-future,-0.31961508235198755,-0.11349689125890905,-0.02088400109749705,0.0747860491103655,0.29656472132228007,-0.01874637193284209,0.15253742096494782
climber:like,negative-past,-0.24843349837572085,0.09547148458554869,0.28109390335472084,0.47309869998040704,0.8534597505688903,0.2859306253172636,0.2809190198619963
climber:like,negative-future,-0.3105878980996521,0.0408363324827996,0.23079796798398322,0.4206294563595757,0.801215390491723,0.2334538154203753,0.2847350304800762
coach:congratulate,positive-past,-0.832763901622427,-0.596052910854729,-0.473658703149404,-0.350228447682359,-0.113556749972124,-0.47329352336487124,0.18214007816861263
coach:congratulate,positive-future,-0.405021575045233,-0.164869768746074,-0.0597134933220661,0.03436135045005695,0.23767485572452984,-0.06760538616773001,0.16043677779113072
coach:congratulate,negative-past,-0.6825470720646539,-0.32037039525256295,-0.13586774195591605,0.05720584479936497,0.42692718387537704,-0.13141571856180465,0.28236447106006823
coach:congratulate,negative-future,-0.984245599973568,-0.613101689237371,-0.426351257462294,-0.2443641608373211,0.1073147296460929,-0.42972691188201967,0.27672495913602385
concierge:convince,positive-past,0.32584900738145,0.561734297878367,0.6873083790582049,0.8133163794468791,1.05766691862727,0.6881558693306733,0.18615571829914765
concierge:convince,positive-future,-0.3836897764972189,-0.15439998950464096,-0.051690392131165996,0.05067861381292993,0.27184385160833413,-0.05219120845723486,0.16304917852622497
concierge:convince,negative-past,-0.5524790164920009,-0.15344253677230302,0.049129368051838984,0.25457244577430704,0.6596504812826122,0.05022539307987432,0.3058217915463708
concierge:convince,negative-future,-0.656327923782165,-0.28808893791440593,-0.09932507278162295,0.08885530687579302,0.436964575242003,-0.10127912483809583,0.2789391802718427
conductor:congratulate,positive-past,0.0363156657378844,0.269974386295162,0.394795095486882,0.51883023440712,0.759474325873061,0.3951017756464909,0.18423432111374874
conductor:congratulate,positive-future,-0.22705724067556504,-0.024506331216850086,0.07609737905556702,0.17940612624260005,0.4201762010591236,0.08040737773524072,0.1616704583674119
conductor:congratulate,negative-past,-1.1038207065628882,-0.70859870034974,-0.508832329919687,-0.30640239132994196,0.07670676159535395,-0.5088818965962139,0.3001209929004425
conductor:congratulate,negative-future,-0.9237528926636239,-0.564930192177231,-0.38295776655079505,-0.1987339257916631,0.14820710894295297,-0.38431337840479424,0.2730061562340522
congresswoman:regret,positive-past,-0.078010474188455,0.16160237834893,0.28741944310964396,0.416304053419867,0.660539397395387,0.2887271725665161,0.18789970602706457
congresswoman:regret,positive-future,-0.243533168626621,-0.05690844264438,0.03669753294672675,0.13845407501505574,0.38046050733362197,0.045130163651776876,0.1559835660840269
congresswoman:regret,negative-past,-0.5417752543774342,-0.18744170008609007,-0.000247133651598036,0.19364078904076595,0.572876761947698,0.004460732539484241,0.2831636866880397
congresswoman:regret,negative-future,-0.5855245691729212,-0.22323953730251195,-0.035467112803384104,0.15014526437334494,0.524950339607534,-0.03603892062138078,0.281209546747583
contractor:mislead,positive-past,-0.268727188168871,-0.0279434787770951,0.0950632302096321,0.215820490610592,0.45205572241887204,0.09392657531818914,0.18254245201936536
contractor:mislead,positive-future,-0.309846201765369,-0.0953037857427981,-0.0021422443078969733,0.09302391982101471,0.316573152290033,-0.0005319126703101612,0.15436062313096643
contractor:mislead,negative-past,-0.5348455223812001,-0.16876458086296292,0.018663334208580802,0.20463251445075312,0.5837946722132202,0.019534454515906668,0.28368627314181294
contractor:mislead,negative-future,-0.5968078797937855,-0.22165141851951706,-0.030308186771106013,0.1628107118728116,0.5506717092762561,-0.02893602437336105,0.28909959382752737
coroner:persuade,positive-past,-0.44242671307092396,-0.19867875331314602,-0.0742612771437196,0.0527525067456533,0.300274795045837,-0.07359164888332724,0.18913833069272185
coroner:persuade,positive-future,-0.2475196520996934,-0.04751567037122198,0.0412510746873644,0.1359006672141274,0.35133368945392063,0.045664094542248866,0.1484757885855812
coroner:persuade,negative-past,-0.730842022464566,-0.347513539876046,-0.15955022083453552,0.029487535635097983,0.3915970978045912,-0.16137902553892663,0.2835932978910786
coroner:persuade,negative-future,-0.6307785720727991,-0.27433117146193,-0.08968225991067501,0.09314574764948996,0.443863708883981,-0.09119729390055344,0.2744468791124153
curator:like,positive-past,0.483471588429799,0.7184159315691879,0.843048270078389,0.9670055590554839,1.21816990972417,0.8444993261725592,0.18526679493637532
curator:like,positive-future,-0.307338568220096,-0.09626051214205988,0.0018658919741550983,0.10527720795183015,0.33587576089403,0.005526027333960412,0.1604816011984404
curator:like,negative-past,-0.40071486165845593,-0.04545827039866113,0.14528296688036713,0.34034750333626984,0.7271128767100639,0.14995243816744563,0.2866609346958049
curator:like,negative-future,-0.28848064905623205,0.06977776851179196,0.2607133289732193,0.45017814659673105,0.8219646575494189,0.2626717225856134,0.2845206640761513
cyclist:think,positive-past,-1.3143139195378999,-1.0699721695782,-0.9465511006265179,-0.8198315537832579,-0.584199855319956,-0.9453120536923479,0.18647374153105054
cyclist:think,positive-future,-0.4562063896583509,-0.19979238044038294,-0.08423772509805605,0.01641683766197699,0.21926278837523105,-0.09505286220202538,0.16938327438012268
cyclist:think,negative-past,-0.671896702816241,-0.28946617835892985,-0.09640683044202003,0.09310307775908022,0.458305294962699,-0.09980831309826464,0.2875444413758807
cyclist:think,negative-future,-0.9876351867364705,-0.605846905287264,-0.40890598322761595,-0.2188674042423291,0.1453129881405002,-0.4143644649539412,0.2875443648777704
dancer:boast,positive-past,-0.20340735533767101,0.0311869002884997,0.156631815443448,0.281464585340617,0.518944298330447,0.15604321171936616,0.1855788055053899
dancer:boast,positive-future,-0.3200039843019521,-0.10766946124407994,-0.013253413757390392,0.07989237021030193,0.28523437039736643,-0.014826790941388248,0.15088183791526363
dancer:boast,negative-past,-0.586081141167733,-0.20822337196621005,-0.013232121571391593,0.184896288308632,0.5703818177440685,-0.012290425736439004,0.2926504287352413
dancer:boast,negative-future,-0.5734050392649308,-0.223903509838789,-0.04017711306191703,0.14502858231458393,0.502121062556181,-0.03989220213429311,0.27442195577175255
daughter:convince,positive-past,-0.708461216277113,-0.47789217244426296,-0.355897387160167,-0.23430990627422002,0.00180422037839272,-0.35564082009655174,0.1813887956345145
daughter:convince,positive-future,-0.3843220252172751,-0.16407194741262499,-0.06384791313033289,0.030112560785853892,0.24331206617329595,-0.06738738099516386,0.15603609204244973
daughter:convince,negative-past,-0.38060495385132603,-0.00800253901225595,0.185452203318552,0.3843231969251192,0.7541051836574899,0.18682142646826286,0.2898636174724599
daughter:convince,negative-future,-0.636244462515777,-0.2601703659294125,-0.07270762618281001,0.11632165573783304,0.46694823397187296,-0.07389992054790906,0.28113746007237117
defendant:hope,positive-past,0.29917433685289696,0.543039343202842,0.6689887379879761,0.793380079453591,1.04606396149695,0.669813766443243,0.18939021698717246
defendant:hope,positive-future,-0.2605322308122289,-0.037362924618157156,0.06484439239524808,0.16672033019980498,0.38920165275957097,0.06505895914670284,0.16312928777240995
defendant:hope,negative-past,-0.9415436784962039,-0.5511838308661431,-0.351682324141087,-0.1558229126490911,0.22144504469856602,-0.35448901403498073,0.29685448005308473
defendant:hope,negative-future,-0.496416246993331,-0.137372166417156,0.04578357758681484,0.22954091687808503,0.5838775823375899,0.04438637359265513,0.27596493966263375
deliveryman:regret,positive-past,-0.869953869168313,-0.643119785640754,-0.525335701370274,-0.40735029819285495,-0.178511872975315,-0.5254749605057124,0.1758922763286159
deliveryman:regret,positive-future,-0.215273816445413,-0.03393416975655095,0.05969820148669902,0.16645030756450008,0.429274026566846,0.07200436800775695,0.15979353149496944
deliveryman:regret,negative-past,-0.4447379714535051,-0.08498649030441296,0.101570209796497,0.296515782054517,0.6848222323360651,0.10825741592947133,0.28679652888543333
deliveryman:regret,negative-future,-0.4964524017133759,-0.14526093229674908,0.045104588121719025,0.23917969540678297,0.6157705395280462,0.04892574394530014,0.2845485870519617
detective:disprove,positive-past,0.6549831428838829,0.8936143151191249,1.01789208681089,1.14593373968448,1.39003202431988,1.0200404344791927,0.18805245408343357
detective:disprove,positive-future,-0.34782396623607614,-0.11368155247754985,-0.006787817162119847,0.09809956304387013,0.32919277665835,-0.007279397797975503,0.16718718300855198
detective:disprove,negative-past,-0.364164727240594,0.008665890781520025,0.20260713387795803,0.3980860555970359,0.7865561034274628,0.20550980471400246,0.29216518767407096
detective:disprove,negative-future,-0.17566215248767003,0.1856541544648478,0.376853311715444,0.563894508062885,0.934909241521559,0.3767366940501876,0.28290666313777624
director:congratulate,positive-past,-1.37813501207838,-1.15047355112325,-1.02933857964634,-0.910903123125863,-0.6857339597041379,-1.0310864456533684,0.1762428257258816
director:congratulate,positive-future,-0.5986421383953502,-0.31506361087463475,-0.1883775509551079,-0.0720674201146001,0.1337337260571131,-0.19955374014104768,0.18525910310578128
director:congratulate,negative-past,-0.2963918934023999,0.06576015787645773,0.2620390113602499,0.46189370914299,0.8677913293195902,0.2681618795103256,0.29697634382617055
director:congratulate,negative-future,-1.007663162720458,-0.6170748796801664,-0.41867433568743684,-0.2253849670997582,0.13915309171537982,-0.42278568926924187,0.29253324076758686
dishwasher:complain,positive-past,-1.25813099233806,-1.02570613409475,-0.903121531192237,-0.784889776904331,-0.557406037026445,-0.9044815404116849,0.17835127422282793
dishwasher:complain,positive-future,-0.42582649927375005,-0.17982860118199506,-0.07024493164459689,0.030291047061296927,0.23541093885008002,-0.07749292644801524,0.1647408858675823
dishwasher:complain,negative-past,-0.4950502448847728,-0.12171109842251615,0.07090312148074507,0.272411776061964,0.6552878218816942,0.07532186866645203,0.293449554342593
dishwasher:complain,negative-future,-0.7940131810856319,-0.40961349644247597,-0.2096756097020408,-0.010848604330811917,0.37714398672611704,-0.2091533905382173,0.2974201508629381
diver:fear,positive-past,-0.935655318438821,-0.693917855045011,-0.5704485617777979,-0.44425202559203497,-0.205541157234883,-0.5700139288941307,0.185512731477174
diver:fear,positive-future,-0.12104745572315001,0.10405758999468506,0.22805887954884008,0.3590208549756291,0.6405685581720841,0.23583160618048996,0.192303260272896
diver:fear,negative-past,-2.154311827242509,-1.741297715192537,-1.532024249200402,-1.32745855333852,-0.9542906585530739,-1.5379258494995776,0.3077127573773218
diver:fear,negative-future,-1.937138246074251,-1.549469188530384,-1.3507115590626462,-1.155493593046022,-0.785207127767138,-1.3537259664904904,0.29411935686684987
