"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
engineer-persuade,11.0582582381938,1.27231929925153,-22.1165164763877,11.5908402082773,0.204238319909339,23.1816804165547
executive-know,31.915367743375,2.73487995134977,-63.8307354867499,16.8746122977165,0.677831146542375,33.7492245954329
farmer-persuade,31.571401400277,6.40150230080236,-63.1428028005539,14.425354444813,2.50248659658772,28.8507088896261
filmmaker-lie,18.390674327316,4.01358290981141,-36.781348654632,15.3277544169104,1.44285976706074,30.6555088338208
fire fighter-boast,97.7753500803084,5.32969144977464,-195.550700160617,24.9720554501839,2.01387256343651,49.9441109003677
fisherman-love,101.742620289216,5.32358902884001,-203.485240578432,20.8236567828573,1.40549000815592,41.6473135657147
gambler-like,111.133269751133,3.58474769341839,-222.266539502266,24.9130618247525,0.689176802516029,49.826123649505
gardener-remember,87.2240137054638,3.12513269382266,-174.448027410928,20.0476911360273,1.34981597432077,40.0953822720547
guitarist-worry,31.264856818573,9.9425390932641,-62.529713637146,14.5488363901621,3.70313921622926,29.0976727803242
hacker-boast,49.5215318359409,8.22431096031555,-99.0430636718818,14.5449218686942,2.67924386231145,29.0898437373884
hiker-remember,108.037322555452,2.37601683022417,-216.074645110905,23.804595724183,0.439831875542823,47.609191448366
homeowner-hate,75.9163134406591,1.66831880556795,-151.832626881318,22.4030768582694,0.245004839778087,44.8061537165387
inspector-convince,-7.51871039129815,3.28077945858067,15.0374207825963,5.39399544462305,1.14917268920328,10.7879908892461
jeweler-remember,26.8373965138789,4.05581253164636,-53.6747930277579,14.2381392109571,2.62980337574164,28.4762784219142
journalist-worry,129.617162275761,2.6783644733606,-259.234324551523,25.117740598857,0.412502528516149,50.235481197714
landlord-hope,90.8275978179531,8.10986203458495,-181.655195635906,22.7000325980375,2.49566036611777,45.4000651960749
lawyer-disprove,16.5090752753399,7.5097452500638,-33.0181505506799,12.6002770383285,3.43770483084076,25.200554076657
liquor store owner-tell,33.7695604818535,2.86349991113418,-67.5391209637071,16.001416291563,0.930869401962319,32.0028325831259
literary agent-mislead,54.4661751071179,9.3115968578648,-108.932350214236,19.4534597848813,2.27832772324689,38.9069195697626
little girl-fear,37.4064825323149,4.76136314078881,-74.8129650646299,14.4688452014782,1.2725196625638,28.9376904029564
mechanic-notify,16.0850205333725,4.4605301245093,-32.1700410667451,10.425859995303,1.6724807557146,20.851719990606
model-complain,44.6330140788493,6.08785961317715,-89.2660281576986,13.4956954828838,1.75700435769237,26.9913909657677
moderator-congratulate,31.9940440380689,3.10482077935835,-63.9880880761379,15.749800438289,1.13185757724207,31.4996008765781
mother-lie,59.6410103580277,4.69554674225769,-119.282020716055,18.6135330572114,1.7778014270559,37.2270661144227
mother-remember,16.3672439101445,2.45024491960575,-32.7344878202889,10.4242412622731,0.823612564348651,20.8484825245461
musician-hope,99.5757696364398,4.00336788139146,-199.15153927288,21.7910616933795,1.0291212526967,43.5821233867589
nanny-dissuade,37.608544113056,6.81927271822172,-75.2170882261119,15.6329670982757,2.41487800026201,31.2659341965515
news anchor-notify,21.5148549287386,3.23427812962408,-43.0297098574772,13.2927503944524,0.8506700534201,26.5855007889048
nurse-know,59.4616555662149,2.48595832812979,-118.92331113243,18.6706523702372,0.479454041392612,37.3413047404743
painter-think,65.5783873700309,4.83146345104932,-131.156774740062,18.9045033497624,1.35388968401131,37.8090066995247
paramedic-hate,67.5961393219992,2.75126487313411,-135.192278643998,20.1139569416055,0.815453433368561,40.2279138832109
pharmacist-notify,31.8170100524981,2.98141157829732,-63.6340201049961,15.8123054142967,0.813358353860111,31.6246108285933
pilot-mislead,31.5375460429216,4.0135071585989,-63.0750920858431,16.4353277118263,0.924304220337615,32.8706554236526
politician-wish,93.9511399797731,5.7099063899451,-187.902279959546,23.6477384452219,2.19970846171093,47.2954768904438
priest-love,101.923288316887,2.73304209801314,-203.846576633773,23.2666876221718,0.721653779208406,46.5333752443437
professor-think,56.8652645733321,4.79591816003233,-113.730529146664,20.3369371540321,1.60641169371584,40.6738743080642
programmer-doubt,44.0839842045545,2.63949769517568,-88.167968409109,16.7004787414069,0.78699218190747,33.4009574828138
publisher-doubt,37.8360473419032,2.47902394451951,-75.6720946838063,15.5058853166009,0.764759274770964,31.0117706332017
reporter-dissuade,22.8828040766246,4.61345416255685,-45.7656081532492,13.3793308437114,2.0920459164969,26.7586616874229
runner-doubt,70.5168728140892,4.01825410640618,-141.033745628178,22.629477257348,1.25093704597779,45.258954514696
sailor-complain,24.6552837994004,2.56594847397628,-49.3105675988007,17.8214402143454,0.46783377993252,35.6428804286908
salesman-wish,91.0371257308303,6.06224969979327,-182.074251461661,21.4562859504788,2.11260277739731,42.9125719009575
scholar-dissuade,35.2207848271097,4.68538359309865,-70.4415696542194,18.6806018861462,1.07988359088992,37.3612037722924
scientist-disprove,-0.380451844568366,3.74580555553252,0.760903689136733,8.30916467745332,1.27304871088108,16.6183293549066
secretary-fear,103.516978652802,3.60438506895317,-207.033957305603,24.6052112283814,1.10419941993386,49.2104224567628
shopkeeper-doubt,81.0504198924634,2.99926251117132,-162.100839784927,21.7270924325958,0.614415436575884,43.4541848651916
singer-wish,126.014787242894,4.11381413624589,-252.029574485789,23.2067368532427,1.75368318616022,46.4134737064855
soccer player-love,119.182743657988,3.40067990186745,-238.365487315977,23.1281821129897,0.724035730801855,46.2563642259794
soldier-fear,56.0962802911376,2.83245108475874,-112.192560582275,17.7374469338396,0.596606025539082,35.4748938676793
strategist-tell,71.092569438564,2.73290232166856,-142.185138877128,21.5482880873786,0.737288016998122,43.0965761747573
swimmer-like,141.592574795551,2.3741853437294,-283.185149591102,25.3798706561783,0.335322324953736,50.7597413123567
teacher-apologize,41.4922176123509,4.31176696142526,-82.9844352247018,17.048751381169,1.32466163167729,34.0975027623381
therapist-convince,46.5718061045435,2.02733134743637,-93.143612209087,17.0966778541598,0.46864281180237,34.1933557083196
tourist-regret,106.131245584728,3.74258867838053,-212.262491169455,21.7698763294665,0.975682946808029,43.5397526589331
trainer-persuade,65.6272261883116,3.02490553011478,-131.254452376623,20.4547214830886,0.685276864559323,40.9094429661771
travel agent-hope,115.984978968194,2.43553551384932,-231.969957936389,24.6200338568927,0.704483277997159,49.2400677137854
uncle-apologize,112.911701873931,3.78860129665309,-225.823403747861,24.188706744605,1.37919461587998,48.37741348921
waiter-worry,63.0430279601187,5.31671630530241,-126.086055920237,25.0306107339767,2.40807874239588,50.0612214679535
zookeeper-tell,77.1795507186105,2.69634729444091,-154.359101437221,21.0306875031822,0.63624103319752,42.0613750063644
