"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","verb"
"B_v[2,7]",0.633960243900917,0.0106457457653501,0.414980134542292,-0.184256941607368,0.356713906384472,0.63827399599759,0.912516827428191,1.4391172262179,1519.50604955408,1.00707521273059,"dissuade"
"B_v[2,8]",1.22352462052118,0.0106741162506587,0.415447070300143,0.406148655803953,0.944534399553232,1.22547855418024,1.50473218563266,2.03570857248551,1514.84272201318,1.00723566481959,"doubt"
"B_v[2,9]",2.67823208473956,0.0106167421338449,0.412066446508389,1.86263448036635,2.40625829330164,2.68253864909221,2.95581119000109,3.47944900755035,1506.44044411077,1.00687432601774,"fear"
"B_v[2,10]",3.63982290765358,0.0107444230436156,0.414786140527121,2.82335685309107,3.36331979306122,3.64179590776874,3.92032998691727,4.4453353034122,1490.32941756144,1.00710875362708,"hate"
"B_v[2,11]",-3.63821574760068,0.0104056174997046,0.411678107626052,-4.45471232016347,-3.91240586205459,-3.6328171284541,-3.3608053937776,-2.84087610824035,1565.23600664905,1.0070069590802,"hope"
"B_v[2,12]",-0.586211504314049,0.0107300319003007,0.413223766163873,-1.39384443930981,-0.862783953050978,-0.584657341530102,-0.309624614610147,0.21932918933986,1483.09358683978,1.00716036723244,"know"
"B_v[2,13]",0.410354900974661,0.0106497375891572,0.414247532447518,-0.413267130879012,0.133256162595164,0.414226927754851,0.689569965124865,1.21650604485934,1513.01086454089,1.00764104979412,"lie"
"B_v[2,14]",-4.09593575844517,0.010552410155491,0.415680749781362,-4.92187881895036,-4.37258699496127,-4.08821583341084,-3.8161810051294,-3.28904126943181,1551.7312239127,1.0066786371328,"like"
"B_v[2,15]",-3.88623584393474,0.010692481080683,0.41508590147662,-4.70844638133319,-4.16413164985,-3.88040260984632,-3.60810764421698,-3.08432003854227,1507.01989039412,1.00702963117633,"love"
"B_v[2,16]",0.000800774909060365,0.0106653474554648,0.415598303353972,-0.814459825191675,-0.279629074412868,0.00645341373372171,0.28224332040164,0.802112100542525,1518.43957747381,1.00712991747948,"mislead"
"B_v[2,17]",0.147145006825165,0.0105964117447272,0.413192752716588,-0.667685046797141,-0.130841823994722,0.149909789794065,0.426950332453781,0.947172000272583,1520.50460701331,1.0073952877552,"notify"
"B_v[2,18]",0.170957494151527,0.0107414492492485,0.413949798791843,-0.650647203390775,-0.107695498025626,0.174799420092468,0.449856506187667,0.975570140792849,1485.14750498516,1.00745138374095,"persuade"
"B_v[2,19]",3.48586410385813,0.0105706673352071,0.415473024446159,2.66988766609656,3.20732258550687,3.48945017545697,3.76651526861953,4.28804787896246,1544.8305588947,1.00736853196773,"regret"
"B_v[2,20]",-0.434376113955326,0.0105079683298809,0.411579789611115,-1.25378155102939,-0.707817488169638,-0.428701952240248,-0.157689224946187,0.355628794940698,1534.15970343053,1.00769753563944,"remember"
"B_v[2,21]",-0.126683179008427,0.0107245634594382,0.413127256112651,-0.946154292679584,-0.400761936252771,-0.124493224570686,0.153841816991694,0.680596667563146,1483.91303692487,1.00711512557768,"tell"
"B_v[2,22]",-0.605001717508438,0.0106136886035889,0.415317909903689,-1.43073368713895,-0.879739395134494,-0.599048135860464,-0.32872839372597,0.207719109490224,1531.18842072044,1.0071926991722,"think"
"B_v[2,23]",-4.14630509601122,0.0106414855149323,0.415482692786689,-4.97132876629323,-4.42296637177607,-4.14163250356222,-3.86840944354542,-3.34456773495386,1524.40849017545,1.00728352819949,"wish"
"B_v[2,24]",2.54375504101319,0.0105995882073868,0.415821321822611,1.72676864514684,2.26191138326339,2.54885990058906,2.82729569272658,3.34618964460811,1538.98902457057,1.00688588561246,"worry"
"B_v[3,1]",0.060452813519633,0.000824245718192055,0.0950683037213938,-0.107578579363543,-9.60013155146865e-05,0.0453030375109381,0.114379829665207,0.276582224958422,13303.2603499505,1.0003927457096,"apologize"
"B_v[3,2]",-0.119299544219563,0.00131666201594054,0.123059681141852,-0.422069234559299,-0.185576225149625,-0.0929324858294404,-0.0244594842473435,0.0421423890219707,8735.40323270953,1.00039454623023,"boast"
"B_v[3,3]",0.0359058635326051,0.000636812160198212,0.0795641253722661,-0.128901398914109,-0.00538300645929401,0.0294159205082284,0.0814396717941955,0.203289867325455,15610.3230389798,1.00024283267479,"complain"
"B_v[3,4]",-0.0367793691094766,0.000722973984922492,0.0980867500430471,-0.252022838595402,-0.091514983092976,-0.0257997165147055,0.016780645792355,0.153901538442307,18406.675237486,1.00019204552787,"congratulate"
"B_v[3,5]",0.0104975910701774,0.000550596437460879,0.0700966667964177,-0.128483618906757,-0.0225308357000257,0.00392886834907329,0.0410239552063678,0.173172424679401,16207.9444708138,1.00016049169575,"convince"
"B_v[3,6]",-0.0180453879534637,0.000673649863689737,0.0801267511305024,-0.198053253160819,-0.0575441541366473,-0.00944592136322872,0.0236048093280252,0.136899346294446,14147.7251904547,1.00034329939892,"disprove"
"B_v[3,7]",-0.00820514811250129,0.000586999023247416,0.0754636576351596,-0.184662568119251,-0.0416320067806038,-0.00241984664730061,0.0296004682459113,0.142149562308351,16527.2632639562,1.00023677135079,"dissuade"
"B_v[3,8]",0.0473245829546735,0.00071957345048383,0.0807272435987438,-0.0800346637843799,-0.00105507472686614,0.0298171361902921,0.0844806286263039,0.249151839731849,12586.0654407109,1.00000011983646,"doubt"
"B_v[3,9]",0.0798133619514516,0.000773963986429365,0.0942332621948811,-0.0726211643206765,0.0107821961858334,0.0658462863685266,0.135050434731457,0.295593323057716,14824.0525590705,1.00006130113941,"fear"
"B_v[3,10]",0.0833686800638095,0.0008216703921076,0.0948080904638743,-0.0694728405250849,0.0131529720522662,0.0693207005995513,0.140544838778072,0.298434599830193,13313.600563722,0.999954515931747,"hate"
"B_v[3,11]",-0.0597828873114893,0.000660679958203293,0.0883694430839451,-0.253528044370986,-0.111837976434343,-0.049732941966609,-0.00169001898741084,0.103430824953752,17890.4790919201,0.999962452037327,"hope"
"B_v[3,12]",-0.00819727567439612,0.000650897206173633,0.0733037566230032,-0.163884688828213,-0.0431979141218625,-0.00535458966074046,0.0245893119504663,0.151036061143177,12683.1651764193,1.00027996517966,"know"
"B_v[3,13]",0.0420932111451192,0.000746900006686044,0.0840526499783187,-0.0811488591484107,-0.00604941149448385,0.0205546847533983,0.0753738345966711,0.260573979253801,12664.2038879506,1.00019895403068,"lie"
"B_v[3,14]",-0.0822432424674493,0.000833997900467397,0.105779945852787,-0.324846137975649,-0.14440456024991,-0.065278196003823,-0.00668205635563052,0.0924302927042018,16087.0631290229,0.999954145934226,"like"
"B_v[3,15]",-0.0921759528503641,0.00087731376141815,0.0989639074558814,-0.319344706360949,-0.150831153591742,-0.0765718103332687,-0.0170472193774578,0.05893218084462,12724.5896423708,1.00016227173684,"love"
"B_v[3,16]",-0.0185877608675397,0.000632730726156589,0.0760495910933055,-0.195716175888311,-0.054428893233557,-0.00971745112515523,0.0196708460345147,0.130946936676347,14446.2762977749,1.00015014593316,"mislead"
"B_v[3,17]",0.0109062839889783,0.000644921049164801,0.0730731882646619,-0.131193780528451,-0.0251729355707744,0.00371840204870571,0.0427496042855953,0.181923520436885,12838.1666642013,1.0001035193114,"notify"
"B_v[3,18]",0.00263088361379888,0.00046773255295919,0.067556852217579,-0.142775529306588,-0.0274956929511557,0.00136943439148236,0.0328277442042685,0.148828909340286,20861.4080403241,1.00009226522821,"persuade"
"B_v[3,19]",0.0703281774350208,0.000823585195616043,0.0929882555547074,-0.0923608590087668,0.00547726879960317,0.057618159847831,0.125541814857337,0.278066379371248,12747.9143911799,1.00010699799296,"regret"
"B_v[3,20]",-0.0154154022370614,0.000501340958957593,0.0688766378934836,-0.176628235294182,-0.0454119121661733,-0.00737592700757841,0.0170046099026212,0.11889842316336,18874.5890341463,1.00008479794285,"remember"
"B_v[3,21]",0.0138896069920265,0.000625189984849432,0.0724253769658697,-0.120456029173262,-0.0221945272753231,0.0038326489101462,0.0429139018323347,0.189259626089802,13420.1541422155,1.00001404220522,"tell"
"B_v[3,22]",-0.00408082075785888,0.000555832767175438,0.0698508593875931,-0.15577855345865,-0.0363898241671245,-0.00268006760668252,0.0270087387798947,0.147626507429327,15792.6574838057,0.999991870768868,"think"
"B_v[3,23]",-0.064656328054232,0.000705885595516039,0.0945802037067114,-0.272259113996335,-0.121483137762913,-0.0534028331720061,-0.00189464811605088,0.106181833753532,17952.7858655156,1.00032442916146,"wish"
"B_v[3,24]",0.0578936424040959,0.000725038463075433,0.0854631466752703,-0.0942155923227565,0.00181884568198177,0.0466251288860045,0.107912166760396,0.247685664310987,13894.2678059281,1.00003400171446,"worry"
"B_v[4,1]",1.63262792843728,0.0104685383132497,0.412851686861375,0.81158630885222,1.35796354364052,1.63766179797373,1.91090488612211,2.43008598671307,1555.30666518069,1.00702932839787,"apologize"
"B_v[4,2]",-1.67476382896362,0.0106680884027986,0.417603887457171,-2.51100640612278,-1.94986165508223,-1.67222650048973,-1.39488804059482,-0.866662805677777,1532.3425242626,1.00720106163727,"boast"
"B_v[4,3]",2.48883986974802,0.0106631973278668,0.412384672149569,1.67465010186271,2.21513155242268,2.49166599648026,2.76551153107439,3.29218357692558,1495.65055737304,1.00778955295067,"complain"
"B_v[4,4]",-0.638069738363498,0.0105739194957952,0.417923838099457,-1.46069208294986,-0.915288603175658,-0.635147856498565,-0.355581465242768,0.177530226465977,1562.14839969265,1.00716592467703,"congratulate"
"B_v[4,5]",-0.123928825451481,0.0105618853026695,0.411262775176207,-0.940531356456106,-0.399806430282236,-0.117847676995472,0.152688191120937,0.676165884769558,1516.1979660233,1.00756168581924,"convince"
"B_v[4,6]",0.527071063265435,0.0103909082355793,0.411731058971739,-0.284469586039032,0.250234068049258,0.536018346913625,0.804931855592453,1.32538173683123,1570.07442559915,1.00745317077362,"disprove"
"B_v[4,7]",0.561487815105315,0.0104666720582364,0.413364587508149,-0.254348633163785,0.284261983714032,0.563906287356004,0.841950751340615,1.36527865364775,1559.7295585241,1.00681903258674,"dissuade"
"B_v[4,8]",1.13424612882977,0.01066085209321,0.411779674533233,0.314788264543546,0.858571178274644,1.13772045708267,1.41353042542533,1.94192602684823,1491.92151133539,1.00746130472055,"doubt"
"B_v[4,9]",2.61863510357477,0.0104667141438118,0.410217636117125,1.80241163750573,2.34438858911812,2.62103518187893,2.8951569389837,3.4176548975897,1536.05911114405,1.00673574770734,"fear"
"B_v[4,10]",3.51912962316043,0.0104741520529703,0.413687705769834,2.70657701726985,3.24233199463988,3.52124533287229,3.79760664913937,4.32136322724431,1559.9385129593,1.00691174917069,"hate"
"B_v[4,11]",-3.58735403494751,0.0103101213156917,0.411323691036373,-4.39965416705258,-3.86004337768155,-3.58473358293141,-3.31104630390231,-2.79190362350657,1591.62186849004,1.00701931901513,"hope"
"B_v[4,12]",-0.456246626765913,0.0106423093923298,0.412643102829805,-1.26461406954085,-0.737505104354455,-0.452417522684962,-0.179052311876074,0.353435417582556,1503.40994857019,1.00741438972274,"know"
"B_v[4,13]",0.438402244427762,0.0104972802726703,0.412399020015862,-0.377007124183023,0.163745353447723,0.446211082707654,0.715644104683985,1.24064826998293,1543.41125720527,1.00729328195871,"lie"
"B_v[4,14]",-4.10039534575101,0.0103848891449476,0.412921220554607,-4.92207447086296,-4.37373935040887,-4.09593086399842,-3.81998421682807,-3.29997611103895,1580.99564961067,1.00671634969795,"like"
"B_v[4,15]",-3.89930171898858,0.0105676500189106,0.413609814543043,-4.72537738734805,-4.17481461168355,-3.89211352968697,-3.62156940630967,-3.09785295232207,1531.88028716107,1.00667799397298,"love"
"B_v[4,16]",-0.0796376081972981,0.0104984331176257,0.414499437456455,-0.895082011416992,-0.361790340960355,-0.0735120159138155,0.203764794552103,0.720707906603107,1558.83058877331,1.00720124330201,"mislead"
"B_v[4,17]",0.0456166543718486,0.0105495852538686,0.41206686753867,-0.765994621438592,-0.231084251355081,0.0490077867299991,0.323060984390618,0.841874835245129,1525.68410000667,1.00742731836326,"notify"
"B_v[4,18]",0.157998627546442,0.0105502617694617,0.411961010521042,-0.660381759834085,-0.118622170939414,0.163731174173196,0.435004261650827,0.963079111586894,1524.70476969378,1.00741773182372,"persuade"
"B_v[4,19]",3.60132939983202,0.0105558478286971,0.414779312021563,2.78572603121235,3.32306420493386,3.60375125269627,3.87972563409266,4.41062603194892,1544.00226139776,1.0069296027876,"regret"
"B_v[4,20]",-0.427742922456565,0.01048713850261,0.410184211930051,-1.23820586798034,-0.701319654112426,-0.424450379983144,-0.149423068791518,0.355891199905057,1529.83246545277,1.00776853638941,"remember"
"B_v[4,21]",-0.200425808130559,0.0104742346531726,0.410608856288286,-1.0068662593927,-0.476666229411142,-0.196966340242568,0.0774376586360098,0.597978392189109,1536.78115513928,1.00725364493937,"tell"
"B_v[4,22]",-0.668336661349995,0.0104851048455897,0.411842992871267,-1.49034600802703,-0.943414416638165,-0.662011074292209,-0.395059935156177,0.131191028860129,1542.82904935808,1.00739616892175,"think"
"B_v[4,23]",-4.12246017343768,0.0105208786452961,0.412690737779553,-4.93701911212822,-4.39720582436431,-4.11540511496337,-3.84934076314967,-3.33218937998234,1538.66977023015,1.00720322252544,"wish"
"B_v[4,24]",2.41377611486141,0.0105287015620873,0.414406093912363,1.60331068311858,2.1351207544257,2.42043306052222,2.69593947573022,3.20868704243299,1549.18268718194,1.00706410890512,"worry"
