"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","scenario"
"B_s[3,58]",0.799314636485741,0.00212130828837371,0.366802493939846,0.0742572535968906,0.549488996174791,0.79932379732274,1.05064601781248,1.50923307346489,29899.0219480466,0.999909806775151,"mechanic-notify"
"B_s[3,59]",-0.393585636025451,0.00203021875775882,0.359030220287793,-1.10388796616042,-0.63260109208219,-0.392541185069203,-0.150095118003816,0.301738753220816,31273.4892451972,0.999943358049472,"model-complain"
"B_s[3,60]",-1.31482725738622,0.00211694392777593,0.36137855282418,-2.01081889099655,-1.55982369521221,-1.32105069990683,-1.07313992436917,-0.598122077259237,29141.1065635882,1.0000381008084,"moderator-congratulate"
"B_s[3,61]",-1.73685633740037,0.00207025110656656,0.355181556444007,-2.42519888988582,-1.9745558336443,-1.73716527893083,-1.50095315567964,-1.03727312949003,29434.371108685,0.999916365450921,"mother-lie"
"B_s[3,62]",0.440471424311635,0.0020954887429209,0.353658868853402,-0.244280007740846,0.200305945083021,0.435907169845661,0.675591680666124,1.14438329118576,28483.8337864443,0.999973252834642,"mother-remember"
"B_s[3,63]",1.10363463278943,0.0020348831394404,0.349788237767687,0.430750831157942,0.864046066446415,1.09841336732931,1.33416037747037,1.80524866642766,29548.2290092886,1.00000894844545,"musician-hope"
"B_s[3,64]",0.932103017383647,0.00218670600024917,0.370447838029776,0.199010181998814,0.683538292406289,0.934913177001464,1.18476324490731,1.65039898082714,28699.4342632544,0.99998472676733,"nanny-dissuade"
"B_s[3,65]",-0.661982429296886,0.00223442484971094,0.372775704724443,-1.39126756180298,-0.912905347689856,-0.665136531106977,-0.415416812613703,0.0774528324491683,27833.2355193953,1.00011288199777,"news anchor-notify"
"B_s[3,66]",0.889339411063415,0.00191726638232391,0.343137322468542,0.206708344895667,0.659889387498492,0.891657041858164,1.12092078985774,1.55756070798043,32031.0371782227,1.00009681965615,"nurse-know"
"B_s[3,67]",-0.846289503062255,0.00204855258518007,0.351880322219093,-1.5234326499105,-1.08867113109283,-0.852189698428183,-0.608925476481,-0.145458429007207,29505.0074694915,1.00001534321143,"painter-think"
"B_s[3,68]",1.89855804368434,0.00215395255404509,0.366796577174156,1.16402218695909,1.65291813610831,1.90207501128845,2.14898955667501,2.59679149763829,28998.6835854532,0.999950027510272,"paramedic-hate"
"B_s[3,69]",-0.119433175713854,0.00209910011110883,0.353325895581246,-0.802640337952837,-0.359678689882702,-0.125345777789489,0.11802535750731,0.582474409515108,28332.482790939,1.00005020591646,"pharmacist-notify"
"B_s[3,70]",-1.62015434205122,0.0022730956037216,0.374525709277281,-2.35064930401037,-1.86915618103441,-1.62386602582818,-1.37033833939093,-0.872413989678277,27147.3765109136,0.999984272882078,"pilot-mislead"
"B_s[3,71]",1.19295355999645,0.00204244208729374,0.362575390615205,0.498710569994652,0.945942977936852,1.1868173578044,1.43817284374534,1.91851053288659,31513.5366218748,0.999886432469414,"politician-wish"
"B_s[3,72]",-1.77510208395924,0.00228179479080902,0.37998271637331,-2.50624463019681,-2.03300690419306,-1.77953086172511,-1.52207626955583,-1.0252556089225,27731.5738278691,1.00008031137772,"priest-love"
"B_s[3,73]",-0.629722102252693,0.00199761568912086,0.359760749135492,-1.32178101276772,-0.872859961497183,-0.631465344492751,-0.388577855165538,0.0874709097806504,32434.2363605851,0.99996952185715,"professor-think"
"B_s[3,74]",-1.28319078308595,0.00207066731353454,0.36280540892357,-1.99342523370974,-1.52702462436859,-1.28344180826062,-1.04015478589169,-0.564412831520221,30699.1853039175,1.00001375813628,"programmer-doubt"
"B_s[3,75]",-0.593800176360686,0.0020840798842103,0.364371229619179,-1.30230550294444,-0.839370419790616,-0.595069555543818,-0.351303707609924,0.142221833482522,30567.4656545041,0.999917930328584,"publisher-doubt"
"B_s[3,76]",-0.996143995528369,0.00218357927296409,0.370439009999051,-1.7173569176537,-1.24680581473386,-0.998674769252285,-0.747585714792736,-0.263085265987357,28780.3123704222,0.999963848809023,"reporter-dissuade"
"B_s[3,77]",1.16194343862,0.00206749874761084,0.362163763189833,0.443286613901405,0.921071599546465,1.16528244424578,1.40710058533708,1.86859235497207,30684.5301828878,0.999989520955694,"runner-doubt"
"B_s[3,78]",2.37084106241486,0.00234884395712566,0.385164008283672,1.61096761535977,2.11350538657113,2.374691485094,2.63019226333068,3.11718279244673,26889.5208518292,1.00007546817648,"sailor-complain"
"B_s[3,79]",1.21924594427049,0.00210493304466234,0.372456169364439,0.503527646003784,0.96612765031496,1.21453343894094,1.46819082900626,1.95918617959278,31309.3298938531,0.999915450195109,"salesman-wish"
"B_s[3,80]",0.445315816674244,0.00210726718934174,0.359634506023269,-0.268748048286675,0.208874145582051,0.446462710798083,0.690689564476338,1.14078665569064,29126.1779635906,1.00000897757563,"scholar-dissuade"
"B_s[3,81]",1.08426432398286,0.00208149461125797,0.366525434624962,0.366155988225627,0.841755067569716,1.08553233797403,1.32820939312618,1.80738485689543,31006.850337832,0.999976231821409,"scientist-disprove"
"B_s[3,82]",1.87564916462607,0.00219531384966027,0.383671225130353,1.1099967147804,1.61878703697976,1.87999587753627,2.13293466641373,2.61864369144234,30543.9516249057,0.999985229705869,"secretary-fear"
"B_s[3,83]",1.23168571014183,0.00200764845701939,0.356284895872786,0.520601755040773,0.997245134407982,1.23440434394558,1.47121440039694,1.92233528805972,31493.3952942633,0.999899889733045,"shopkeeper-doubt"
"B_s[3,84]",-2.39013609967156,0.00218863016047847,0.370457739604466,-3.09164462981633,-2.64350534407546,-2.39217788900732,-2.14700965473012,-1.64959956695932,28650.5250669633,1.00002372174506,"singer-wish"
"B_s[3,85]",-2.31694591654433,0.00212457904320429,0.374467036313365,-3.03613255967579,-2.57032828166479,-2.32266852422782,-2.06973454500093,-1.56247176152818,31065.7183474375,0.999897411185104,"soccer player-love"
"B_s[3,86]",-1.15088819462473,0.00203058916225842,0.353452787164424,-1.85506971400096,-1.38638595329431,-1.14638916213924,-0.912341333827606,-0.468212582628967,30298.3301388,0.999945500656614,"soldier-fear"
"B_s[3,87]",-0.626830927403641,0.00201924784068727,0.350351234350228,-1.30098635853015,-0.863042633518501,-0.635115488762081,-0.392742830913585,0.0688793767927651,30104.2664751335,0.999912334971557,"strategist-tell"
"B_s[3,88]",-0.414721554721938,0.00224083677305252,0.363556810064909,-1.10962386103957,-0.664338231088729,-0.419508977833113,-0.174797119964472,0.310428913178929,26322.3174632079,0.999938081002511,"swimmer-like"
"B_s[3,89]",0.0571944119163114,0.00200803693954508,0.362808788450658,-0.645090110651132,-0.188960064948388,0.0545613446218096,0.298954121176381,0.774760553005079,32644.6639047121,0.999923458083853,"teacher-apologize"
"B_s[3,90]",-1.24478595119678,0.00205798376934034,0.361054964381169,-1.94964819422126,-1.48856804428167,-1.24233052947055,-1.00300106380564,-0.535247438838927,30779.5843612203,0.999931515907229,"therapist-convince"
"B_s[3,91]",-1.6157135111724,0.00199881844627662,0.34609958721537,-2.30066893592936,-1.84811756310563,-1.61248153761145,-1.3780743003207,-0.947506791197103,29981.6455284566,0.999896227429272,"tourist-regret"
"B_s[3,92]",1.16079537979211,0.00200517742894468,0.352623344903364,0.457935895108281,0.926717068641166,1.16739881601727,1.39745659336154,1.8465684505247,30925.4841008403,1.00001164128083,"trainer-persuade"
"B_s[3,93]",-1.56924207779362,0.00217602507674147,0.369289466384641,-2.27745377157944,-1.8185495514805,-1.57657909689874,-1.32616401321078,-0.827661346009849,28800.899267031,0.999991593192271,"travel agent-hope"
"B_s[3,94]",1.59714219819219,0.00215847089452794,0.366976196656209,0.866511495164901,1.3529828890167,1.60152390065426,1.84568059625,2.30964292140431,28905.6937365638,1.00003513015508,"uncle-apologize"
"B_s[3,95]",1.8145701820059,0.00221971535172098,0.37674663564316,1.08372585202389,1.55911857270966,1.81611341363127,2.07282862935579,2.54520512986284,28807.4087010927,0.999888638297759,"waiter-worry"
"B_s[3,96]",0.350206917578301,0.00192169720704327,0.346911117068096,-0.343169000740093,0.117397611692288,0.352778412342782,0.585924843450908,1.01897814153096,32588.6610259661,0.999908024714064,"zookeeper-tell"
"B_s[4,1]",1.48027997918859,0.00199127590422176,0.34443472926373,0.807301086348145,1.2468864634611,1.47909645162062,1.71408501601595,2.15445281527899,29919.2699698104,0.999968870136655,"accountant-know"
"B_s[4,2]",-0.657590786134812,0.00186252956513373,0.330311179426084,-1.28929831250921,-0.879953057886183,-0.660884712520515,-0.437106276255605,-0.000761941062662599,31451.4154074091,0.999913838998018,"actor-hate"
"B_s[4,3]",1.00389035360863,0.00209938145249727,0.338081984865112,0.334128417307803,0.776588442607025,1.00613055433723,1.23464586842717,1.6613709771648,25933.5127501699,0.999965833404616,"analyst-notify"
"B_s[4,4]",-0.755878258546582,0.00199344229329891,0.335836703401834,-1.42298487280893,-0.978230551938211,-0.753848873842356,-0.528578281456617,-0.100661474328447,28382.3910985922,1.00003597286575,"assistant-wish"
